"Var1","Var2","value"
"황석정","설경구",1
"정재영","설경구",1
"도용구","설경구",1
"민경진","설경구",1
"허준호","설경구",1
"문소리","설경구",1
"성지루","설경구",1
"고창석","설경구",1
"유해진","설경구",1
"정인기","설경구",1
"박명신","설경구",1
"이문식","설경구",1
"윤제문","설경구",1
"전혜진","설경구",1
"박상욱","설경구",1
"김남길","설경구",1
"안내상","설경구",1
"손병호","설경구",1
"엄태웅","설경구",1
"전배수","설경구",1
"라미란","설경구",1
"박보영","김희원",1
"임창정","김희원",1
"장동건","김희원",1
"이경영","김희원",1
"권해효","김희원",1
"주진모-1","김희원",1
"김응수","김희원",1
"김민재","김희원",1
"이용이","김희원",1
"엄지원","김희원",1
"이지훈","김희원",1
"라미란","김희원",1
"황정민-1","강신일",1
"문정희","강신일",1
"설경구","강신일",1
"강성진","강신일",1
"김래원","강신일",1
"문성근","강신일",1
"안성기","강신일",1
"정준호","강신일",1
"이경영","강신일",1
"김상호","강신일",1
"유준상","강신일",1
"주진모-1","강신일",1
"정웅인","강신일",1
"조덕현","강신일",1
"강혜정","강신일",1
"오달수","강신일",1
"유승목","강신일",1
"김세동","강신일",1
"정재영","강신일",1
"이철민","강신일",1
"원웅재","강신일",1
"김정팔","강신일",1
"허준호","강신일",1
"성지루","강신일",1
"유선","강신일",1
"유해진","강신일",1
"정인기","강신일",1
"이성민","강신일",1
"이문식","강신일",1
"윤제문","강신일",1
"조한철","강신일",1
"정규수","강신일",1
"송영창","강신일",1
"김정학","강신일",1
"박해일","강신일",1
"이대연","강신일",1
"김남길","강신일",1
"박진우","강신일",1
"엄태웅","강신일",1
"전배수","강신일",1
"엄지성","박사랑",1
"주진모-1","박사랑",1
"박근형","박사랑",1
"김재록","박사랑",1
"고규필","박사랑",1
"이도경","박사랑",1
"엄정화","박사랑",1
"정규수","박사랑",1
"이승준","권율",1
"허준석","권율",1
"조진웅","권율",1
"마동석","권율",1
"한예리","권율",1
"김영애","손종학",1
"천호진","손종학",1
"강동원","손종학",1
"허준석","손종학",1
"주진모-1","손종학",1
"박소담","손종학",1
"김종구","손종학",1
"김병옥","손종학",1
"조달환","손종학",1
"박진우","손종학",1
"황정민-1","배성우",1
"정원중","배성우",1
"엄태구","배성우",1
"조우진","배성우",1
"유연석","배성우",1
"이엘","배성우",1
"김의성","배성우",1
"한석규","배성우",1
"이병헌","배성우",1
"성동일","배성우",1
"이경영","배성우",1
"정우성","배성우",1
